Date,deaths
22/01/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
02/03/2020,0
03/03/2020,0
20/02/2020,0
04/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
05/03/2020,0
19/02/2020,0
01/03/2020,0
17/02/2020,0
23/01/2020,0
18/02/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
24/01/2020,0
06/02/2020,0
16/02/2020,0
15/02/2020,0
14/02/2020,0
12/02/2020,0
11/02/2020,0
13/02/2020,0
09/02/2020,0
08/02/2020,0
07/02/2020,0
05/02/2020,0
10/02/2020,0
17/03/2020,1
18/03/2020,1
19/03/2020,1
20/03/2020,3
21/03/2020,6
22/03/2020,2
23/03/2020,9
24/03/2020,10
25/03/2020,10
26/03/2020,17
27/03/2020,16
28/03/2020,24
29/03/2020,19
30/03/2020,21
31/03/2020,20
01/04/2020,27
02/04/2020,22
03/04/2020,37
04/04/2020,20
05/04/2020,29
06/04/2020,16
07/04/2020,34
08/04/2020,35
09/04/2020,29
10/04/2020,26
11/04/2020,35
12/04/2020,34
13/04/2020,31
14/04/2020,32
15/04/2020,32
16/04/2020,30
17/04/2020,28
18/04/2020,30
19/04/2020,27
20/04/2020,21
21/04/2020,27
22/04/2020,23
23/04/2020,35
24/04/2020,34
25/04/2020,26
26/04/2020,23
27/04/2020,25
28/04/2020,20
29/04/2020,25
30/04/2020,16
01/05/2020,18
02/05/2020,16
03/05/2020,20
04/05/2020,20
05/05/2020,11
06/05/2020,15
07/05/2020,16
08/05/2020,9
09/05/2020,12
10/05/2020,9
11/05/2020,9
12/05/2020,19
13/05/2020,12
14/05/2020,9
15/05/2020,6
16/05/2020,13
17/05/2020,15
18/05/2020,13
19/05/2020,16
20/05/2020,16
21/05/2020,14
22/05/2020,12
23/05/2020,13
24/05/2020,14
25/05/2020,14
26/05/2020,12
27/05/2020,14
28/05/2020,13
29/05/2020,14
30/05/2020,13
31/05/2020,14
01/06/2020,14
02/06/2020,12
03/06/2020,11
04/06/2020,8
05/06/2020,10
06/06/2020,9
07/06/2020,5
08/06/2020,6
09/06/2020,7
10/06/2020,5
11/06/2020,7
12/06/2020,1
13/06/2020,7
14/06/2020,5
15/06/2020,3
16/06/2020,2
17/06/2020,1
18/06/2020,1
19/06/2020,3
20/06/2020,1
21/06/2020,2
22/06/2020,4
23/06/2020,6
24/06/2020,3
25/06/2020,6
26/06/2020,6
27/06/2020,6
28/06/2020,3
29/06/2020,4
30/06/2020,8
01/07/2020,3
02/07/2020,8
03/07/2020,11
04/07/2020,7
05/07/2020,9
06/07/2020,6
07/07/2020,9
08/07/2020,2
09/07/2020,13
10/07/2020,2
11/07/2020,8
12/07/2020,6
13/07/2020,2
14/07/2020,6
15/07/2020,8
16/07/2020,3
17/07/2020,3
18/07/2020,2
19/07/2020,5
20/07/2020,2
21/07/2020,6
22/07/2020,5
23/07/2020,3
24/07/2020,7
25/07/2020,4
26/07/2020,1
27/07/2020,2
28/07/2020,3
29/07/2020,3
30/07/2020,2
31/07/2020,8
01/08/2020,2
02/08/2020,1
03/08/2020,0
04/08/2020,1
05/08/2020,1
06/08/2020,3
07/08/2020,3
08/08/2020,4
09/08/2020,6
10/08/2020,3
11/08/2020,2
12/08/2020,3
13/08/2020,6
14/08/2020,2
15/08/2020,3
16/08/2020,3
17/08/2020,1
18/08/2020,5
19/08/2020,2
20/08/2020,2
21/08/2020,4
22/08/2020,2
23/08/2020,2
24/08/2020,5
25/08/2020,4
26/08/2020,2
27/08/2020,2
28/08/2020,6
29/08/2020,3
30/08/2020,1
31/08/2020,3
01/09/2020,2
02/09/2020,3
03/09/2020,2
04/09/2020,4
05/09/2020,5
06/09/2020,2
07/09/2020,3
08/09/2020,3
09/09/2020,3
10/09/2020,3
11/09/2020,3
12/09/2020,5
13/09/2020,7
14/09/2020,4
15/09/2020,4
16/09/2020,3
17/09/2020,10
18/09/2020,6
19/09/2020,5
20/09/2020,13
21/09/2020,8
22/09/2020,5
23/09/2020,3
24/09/2020,3
25/09/2020,5
26/09/2020,8
27/09/2020,9
28/09/2020,4
29/09/2020,6
30/09/2020,8
01/10/2020,6
02/10/2020,6
03/10/2020,12
04/10/2020,10
05/10/2020,13
06/10/2020,14
07/10/2020,8
08/10/2020,10
09/10/2020,12
10/10/2020,5
11/10/2020,13
12/10/2020,14
13/10/2020,16
14/10/2020,7
15/10/2020,11
16/10/2020,21
17/10/2020,13
18/10/2020,19
19/10/2020,17
20/10/2020,15
21/10/2020,16
22/10/2020,16
23/10/2020,31
24/10/2020,21
25/10/2020,19
26/10/2020,27
27/10/2020,28
28/10/2020,24
29/10/2020,33
30/10/2020,40
31/10/2020,39
01/11/2020,37
02/11/2020,46
03/11/2020,45
04/11/2020,59
05/11/2020,46
06/11/2020,52
07/11/2020,56
08/11/2020,48
09/11/2020,63
10/11/2020,62
11/11/2020,82
12/11/2020,78
13/11/2020,69
14/11/2020,55
15/11/2020,76
16/11/2020,91
17/11/2020,81
18/11/2020,79
19/11/2020,69
20/11/2020,61
21/11/2020,62
22/11/2020,73
23/11/2020,74
24/11/2020,85
25/11/2020,71
26/11/2020,82
27/11/2020,67
28/11/2020,87
29/11/2020,64
30/11/2020,78
01/12/2020,72
02/12/2020,68
03/12/2020,79
04/12/2020,79
05/12/2020,73
06/12/2020,87
07/12/2020,78
08/12/2020,81
09/12/2020,70
